PLAN_REF,FGDATE,PROPOSAL,APPDATE,LOCATION,STAGE,DECDATE,REGDATE,APPTYPE,DECISION
2269/08,02-10-2008,PRO STRUCT: Construc,10-04-2008,Front Square And Old,Decision Notices Iss,22-08-2008,29-07-2008,Permission,GRANT PERMISSION
2343/13,24-06-2013,PROTECTED STRUCTURE:,19-03-2013,University Of Dublin,Decision Notices Iss,10-05-2013,19-03-2013,Permission,GRANT PERMISSION
3716/14,26-02-2015,PROTECTED STRUCTURE:,18-11-2014,Ussher Library  Trin,Decision Notices Iss,15-01-2015,18-11-2014,Permission,GRANT PERMISSION
3034/09,21-08-2009,PROTECTED STRUCTURE,18-05-2009,Botany Building  Tri,Decision Notices Iss,07-07-2009,18-05-2009,Permission,GRANT PERMISSION
3676/14,NULL,PROTECTED STRUCTURE:,11-11-2014,Ussher Library  Trin,Decision Notices Iss,13-11-2014,11-11-2014,Permission,APPLICATION DECLARED
3915/08,22-10-2008,change of use of uni,31-07-2008,Units C1 - C7b  Mary,Decision Notices Iss,10-09-2008,31-07-2008,Permission,GRANT PERMISSION
3797/18,26-02-2019,Hammerson ICAV and I,27-08-2018,Kiosk K13  Central S,Decision Notices Iss,22-01-2019,17-12-2018,Permission,GRANT PERMISSION
3303/16,07-10-2016,The development will,08-07-2016,Units 46A/B/C  82-85,Decision Notices Iss,26-08-2016,08-07-2016,Permission,GRANT PERMISSION
3287/15,03-05-2016,Amalgamation of unit,23-07-2015,Units Nos. 47  48  4,Appeal Decided,24-11-2015,05-11-2015,Permission,GRANT PERMISSION
3944/08,22-10-2008,Change of use from s,05-08-2008,Unit 64  Parnell Mal,NULL,11-09-2008,05-08-2008,Permission,GRANT PERMISSION
2339/14,NULL,Installation of 1 No,11-03-2014,Ilac Shopping Centre,Decision Notices Iss,28-04-2014,11-03-2014,Permission,REFUSE PERMISSION
2704/08,07-08-2008,Extension of existin,07-05-2008,Unit 67  Parnell Mal,Decision Notices Iss,26-06-2008,07-05-2008,Permission,GRANT PERMISSION
2180/08,08-07-2008,Relocation of intern,02-04-2008,Units 20 & 21  Centr,Decision Notices Iss,26-05-2008,02-04-2008,Permission,GRANT PERMISSION
4514/06,06-11-2006,Various works includ,11-08-2006,Service Yard 2 Moore,Decision Notices Iss,29-09-2006,11-08-2006,Permission,GRANT PERMISSION
1953/08,NULL,Utilise vacant units,14-03-2008,Units 46A/B Moore Ma,Decision Notices Iss,31-03-2008,14-03-2008,Permission,APPLICATION DECLARED
4004/07,03-10-2007,Amalgamation of two,02-07-2007,Units 66 & 66A  Parn,Decision Notices Iss,23-08-2007,02-07-2007,Permission,GRANT PERMISSION
2254/06,29-06-2006,Permission sought fo,30-03-2006,Units 6/7 and units,Decision Appealed,24-05-2006,30-03-2006,Permission,GRANT PERMISSION
5301/06,23-03-2007,alterations to previ,28-09-2006,Moore Mall and Moore,Decision Notices Iss,16-02-2007,29-01-2007,Permission,GRANT PERMISSION
2182/08,11-07-2008,Utilisation of exist,02-04-2008,Units 46A/B Moore Ma,Decision Notices Iss,27-05-2008,02-04-2008,Permission,GRANT PERMISSION
1949/08,NULL,Relocate internal wa,14-03-2008,Units 20 & 21  Centr,Decision Notices Iss,31-03-2008,14-03-2008,Permission,APPLICATION DECLARED
3496/12,06-03-2013,Change of use from r,21-11-2012,Unit 68  Parnell Mal,Decision Notices Iss,21-01-2013,21-11-2012,Permission,GRANT PERMISSION
3028/13,04-11-2013,Provision of an 84sq,31-07-2013,Units 42-43 Moore Ma,Decision Notices Iss,24-09-2013,31-07-2013,Permission,GRANT PERMISSION
2131/13,10-05-2013,The reformation of u,06-02-2013,Moore Mall & Units 4,Decision Notices Iss,27-03-2013,06-02-2013,Permission,GRANT PERMISSION
4133/08,18-11-2008,Amalgamation of unit,20-08-2008,Unit 56  Central Squ,Decision Notices Iss,09-10-2008,20-08-2008,Permission,GRANT PERMISSION
3190/09,04-09-2009,Change of use of Uni,09-06-2009,Units 8 & 9  Mary's,Decision Notices Iss,24-07-2009,09-06-2009,Permission,GRANT PERMISSION
3549/08,25-09-2008,Amalgamation of unit,08-07-2008,Units 3 and 4 Mary's,Decision Notices Iss,14-08-2008,08-07-2008,Permission,GRANT PERMISSION
4296/09,NULL,Provision of project,19-11-2009,Unit 67 Parnell Mall,Decision Notices Iss,21-01-2010,19-11-2009,Permission,REFUSE PERMISSION
1264/07,18-04-2007,Various works includ,23-01-2007,Service Yard  1  Par,Decision Notices Iss,12-03-2007,23-01-2007,Permission,GRANT PERMISSION
3794/06,27-09-2006,RETENTION - 19sqm ki,03-07-2006,ILAC Shopping Centre,Decision Notices Iss,22-08-2006,03-07-2006,Permission,GRANT PERMISSION
1269/03,23-06-2003,Development will con,25-03-2003,Unit 24B Ilac Shoppi,Decision Appealed,15-05-2003,25-03-2003,Permission,GRANT PERMISSION
2192/05,13-12-2005,the removal of Condi,01-04-2005,Ilac Shopping Centre,Decision Appealed,07-11-2005,12-10-2005,Permission,GRANT PERMISSION
2372/05,14-07-2005,change of use from s,14-04-2005,Unit 70  ILAC Shoppi,Decision Notices Iss,08-06-2005,14-04-2005,Permission,GRANT PERMISSION
5847/05,03-03-2006,demolition of an exi,28-11-2005,Service Yard 4  Chap,Decision Notices Iss,26-01-2006,28-11-2005,Permission,GRANT PERMISSION
2654/08,30-07-2008,utilisation of exist,02-05-2008,Units 77  78  79  80,Decision Notices Iss,17-06-2008,02-05-2008,Permission,GRANT PERMISSION
3028/16,02-09-2016,Amalgamation of 2 ex,01-06-2016,UNIT 13 & 14 Central,Decision Notices Iss,26-07-2016,01-06-2016,Permission,GRANT PERMISSION
3795/06,27-09-2006,10 No. mobile kiosks,03-07-2006,Lift Square  Central,Decision Notices Iss,22-08-2006,03-07-2006,Permission,GRANT PERMISSION
3793/06,27-09-2006,2.4 metre high slidi,03-07-2006,Service Yard 3  Samp,Decision Notices Iss,22-08-2006,03-07-2006,Permission,GRANT PERMISSION
3247/07,27-08-2007,change of use of Uni,21-05-2007,Units C1 - C4 Mary's,Decision Notices Iss,11-07-2007,21-05-2007,Permission,GRANT PERMISSION
1206/03,29-07-2003,Internal alterations,20-03-2003,Ilac Shopping Centre,Decision Notices Iss,18-06-2003,20-03-2003,Permission,GRANT PERMISSION
1503/08,15-07-2008,Amendments to previo,15-02-2008,Irish Life Centre  A,Decision Notices Iss,03-06-2008,12-05-2008,Permission,GRANT PERMISSION
4537/07,01-02-2008,Demolish existing bu,27-07-2007,Irish Life Centre  A,Appeal Decided,20-09-2007,27-07-2007,Permission,GRANT PERMISSION
3785/08,22-10-2008,Amendments to the pr,23-07-2008,Irish Life Centre  A,Decision Notices Iss,12-09-2008,23-07-2008,Permission,GRANT PERMISSION
5170/06,25-07-2008,Protected Structure-,21-09-2006,Arnotts  site bounde,Appeal Decided,06-07-2007,31-05-2007,Permission,GRANT PERMISSION
3280/05,13-09-2005,(a) a 534sq m first,13-06-2005,Unit Nos. 46a/b and,Decision Appealed,05-08-2005,13-06-2005,Permission,GRANT PERMISSION
1593/06,17-05-2006,installation of 2 se,15-02-2006,Irish Life Centre  L,Decision Appealed,11-04-2006,15-02-2006,Permission,GRANT PERMISSION
2688/10,24-08-2010,Replacement of exist,28-04-2010,Block 7  Irish Life,Decision Notices Iss,16-07-2010,21-06-2010,Permission,GRANT PERMISSION
2479/08,24-03-2010,PROTECTED STRUCTURE,24-04-2008,Former Carlton Cinem,Appeal Decided,15-12-2008,21-10-2008,Permission,GRANT PERMISSION
1969/05,08-06-2005,PROTECTED STRUC Erec,16-03-2005,Department of Educat,Decision Notices Iss,03-05-2005,16-03-2005,Permission,GRANT PERMISSION
1911/08,NULL,Construction of a gl,12-03-2008,Blocks B & C  Ulster,Decision Notices Iss,31-03-2008,12-03-2008,Permission,APPLICATION DECLARED
4389/09,27-09-2010,PRO STRUCT: Erection,03-12-2009,Custom House  Dublin,Decision Notices Iss,17-08-2010,21-07-2010,Permission,GRANT PERMISSION
3693/03,NULL,Refurbishment of & c,31-07-2003,Rear Of  9  Ely Plac,Decision Notices Iss,18-08-2003,31-07-2003,Permission,APPLICATION DECLARED
5269/07,12-12-2007,PROTECTED STRUCTURE,13-09-2007,Custom House  Dublin,Decision Notices Iss,25-10-2007,13-09-2007,Permission,GRANT PERMISSION
1221/03,23-06-2003,PROTECTED STRUCTURE,20-03-2003,The Custom House  Du,Decision Appealed,13-05-2003,20-03-2003,Permission,GRANT PERMISSION
3635/06,21-09-2006,Protected Structure-,23-06-2006,Custom House  Dublin,Decision Appealed,16-08-2006,23-06-2006,Permission,GRANT PERMISSION
3711/06,NULL,PROTECTED STRUCTURE-,28-06-2006,The Customs House  D,Decision Notices Iss,24-07-2006,28-06-2006,Permission,APPLICATION DECLARED
4334/09,NULL,PROTECTED STRUCTURE,10-11-2009,Custom House  Dublin,Decision Notices Iss,16-11-2009,10-11-2009,Permission,APPLICATION DECLARED
3307/14,27-11-2014,PROTECTED STRUCTURE:,28-08-2014,Main Rugby Pitch  Co,Decision Notices Iss,16-10-2014,28-08-2014,Permission,GRANT PERMISSION
2125/14,11-07-2014,PROTECTED STRUCTURE-,31-01-2014,Main Rugby Pitch  Co,Decision Notices Iss,29-05-2014,02-05-2014,Permission,GRANT PERMISSION
2369/16,21-07-2016,PROTECTED STRUCTURE:,26-02-2016,Irish Life Centre  A,Decision Notices Iss,10-06-2016,16-05-2016,Permission,GRANT PERMISSION
1413/06,08-05-2006,Permission sought fo,03-02-2006,Arnotts Dept.Store,Decision Appealed,28-03-2006,03-02-2006,Permission,GRANT PERMISSION
2254/03,07-07-2005,The construction of,20-05-2003,Bank of Ireland 2  C,Decision Notices Iss,01-06-2005,09-03-2005,Permission,GRANT PERMISSION
3269/09,28-10-2009,PROTECTED STRUCTURE-,18-06-2009,Arnotts  7-15  Henry,Decision Notices Iss,17-09-2009,21-08-2009,Permission,GRANT PERMISSION
4765/08,27-01-2009,PROTECTED STRUCTURE-,16-10-2008,Site at Arnotts  Hen,Decision Notices Iss,09-12-2008,16-10-2008,Permission,GRANT PERMISSION
2996/08,28-08-2008,PROTECTED STRUCTURE,28-05-2008,Jervis Street Shoppi,Decision Notices Iss,16-07-2008,28-05-2008,Permission,GRANT PERMISSION
3342/16,11-10-2016,PROTECTED STRUCTURE:,15-07-2016,Arnotts  7-15  Henry,Decision Notices Iss,31-08-2016,15-07-2016,Permission,GRANT PERMISSION
3499/18,11-10-2018,PROTECTED STRUCTURE:,13-07-2018,The CHQ Building  Ge,Decision Notices Iss,06-09-2018,13-07-2018,Permission,GRANT PERMISSION
4636/18,27-03-2019,RETENTION: PROTECTED,17-12-2018,The CHQ Building  No,Decision Notices Iss,19-02-2019,17-12-2018,Retention Permission,GRANT RETENTION PERM
3563/17,06-11-2017,PROTECTED STRUCTURE:,02-08-2017,The CHQ Building  No,Decision Notices Iss,26-09-2017,02-08-2017,Permission,GRANT PERMISSION
1781/05,19-10-2006,new public space  8,03-03-2005,Within the grounds o,Appeal Decided,05-05-2006,10-04-2006,Permission,GRANT PERMISSION
3432/18,03-10-2018,PROTECTED STRUCTURE:,04-07-2018,Bank of Ireland  2 C,Decision Notices Iss,27-08-2018,04-07-2018,Permission,GRANT PERMISSION
6430/05,30-03-2006,alterations to Bank,23-12-2005,Bank of Ireland  2,Decision Notices Iss,17-02-2006,23-12-2005,Permission,GRANT PERMISSION
3386/13,19-03-2014,PROTECTED STRUCTURE:,11-10-2013,Bank of Ireland  Col,Appeal Decided,04-12-2013,11-10-2013,Permission,REFUSE PERMISSION
2331/15,11-06-2015,PROTECTED STRUCTURE:,06-03-2015,Bank of Ireland  2,Decision Notices Iss,30-04-2015,06-03-2015,Permission,GRANT PERMISSION
2768/08,05-08-2008,RETENTION - single s,12-05-2008,Bachelors Walk Apart,Decision Notices Iss,24-06-2008,12-05-2008,Retention Permission,GRANT PERMISSION
1656/08,NULL,RETENTION: Of single,27-02-2008,Bachelors Walk Apart,Decision Notices Iss,03-03-2008,27-02-2008,Permission,APPLICATION DECLARED
1965/08,NULL,RETENTION: Single st,14-03-2008,Bachelors Walk Apart,Decision Notices Iss,21-04-2008,14-03-2008,Permission,APPLICATION DECLARED
3961/16,03-02-2017,Removal of existing,21-10-2016,Custom House Plaza,Decision Notices Iss,13-12-2016,21-10-2016,Permission,GRANT PERMISSION
3861/17,20-12-2017,PROTECTED STRUCTURE:,15-09-2017,10-15  Henry Street,Decision Notices Iss,09-11-2017,15-09-2017,Permission,GRANT PERMISSION
5944/06,NULL,PROTECTED STRUCTURE-,07-11-2006,Connolly Station  Am,Decision Notices Iss,21-11-2006,07-11-2006,Permission,APPLICATION DECLARED
2337/15,08-06-2015,PROTECTED STRUCTURE:,06-03-2015,Connolly Station  Am,Decision Notices Iss,24-04-2015,06-03-2015,Permission,GRANT PERMISSION
6336/06,06-03-2007,Protected Structure-,01-12-2006,Connolly Station  Am,Decision Notices Iss,26-01-2007,01-12-2006,Permission,GRANT PERMISSION
2912/14,22-09-2014,PROTECTED STRUCTURE:,20-06-2014,General Post Office,Decision Notices Iss,14-08-2014,20-06-2014,Permission,GRANT PERMISSION
3677/13,14-03-2014,PROTECTED STRUCTURE:,10-12-2013,G.P.O.  Lower O'Conn,Decision Notices Iss,12-02-2014,10-12-2013,Permission,GRANT PERMISSION
3442/16,24-03-2017,PROTECTED STRUCTURE:,29-07-2016,Clerys  18-27  O'Con,Appeal Decided,08-12-2016,11-11-2016,Permission,GRANT PERMISSION
5309/05,06-02-2006,extension to teh sou,24-10-2005,20-26 Abbey Street U,Decision Notices Iss,16-12-2005,24-10-2005,Permission,GRANT PERMISSION
2248/06,19-06-2006,alterations to previ,30-03-2006,20-26   Abbey Street,Decision Appealed,19-05-2006,30-03-2006,Permission,GRANT PERMISSION
2254/05,19-08-2005,alterations to previ,06-04-2005,20-26 Abbey Street U,Decision Appealed,13-07-2005,16-06-2005,Permission,GRANT PERMISSION
3785/03,14-07-2004,PROTECTED STRUCTURE,06-08-2003,Lands bounded by Pea,Appeal Decided,11-02-2004,10-12-2003,Permission,GRANT PERMISSION
2907/19,NULL,Permission for devel,02-05-2019,Apollo House  Tara S,Registered applicati,NULL,02-05-2019,Permission,NULL
2415/19,06-06-2019,Permission for devel,04-03-2019,Apollo House  Tara S,Decision Notices Iss,26-04-2019,04-03-2019,Permission,GRANT PERMISSION
2959/19,NULL,PROTECTED STRUCTURE:,10-05-2019,The Arts Building  T,Registered applicati,NULL,10-05-2019,Permission,NULL
4477/18,12-03-2019,PROTECTED STRUCTURE:,28-11-2018,The Arts Building  T,Decision Notices Iss,31-01-2019,28-11-2018,Permission,GRANT PERMISSION
3531/18,17-10-2018,Demolition of the ex,18-07-2018,Site of C.0.56 hecta,Decision Notices Iss,11-09-2018,18-07-2018,Permission,GRANT PERMISSION
4127/15,05-05-2016,PROTECTED STRUCTURE:,30-11-2015,The Gresham Hotel  1,Decision Notices Iss,24-03-2016,03-03-2016,Permission,GRANT PERMISSION
2573/08,12-03-2009,PROTECTED STRUCTURES,29-04-2008,Gresham Hotel  Rear,Appeal Decided,17-06-2008,29-04-2008,Permission,GRANT PERMISSION
1754/03,29-10-2003,Internal modificatio,17-04-2003,Gresham Hotel  23  O,Decision Appealed,22-09-2003,27-08-2003,Permission,GRANT PERMISSION
2121/17,03-05-2017,PROTECTED STRUCTURE:,27-01-2017,Hotel Riu Plaza The,Decision Notices Iss,23-03-2017,27-01-2017,Permission,GRANT PERMISSION
WEB1235/15,27-10-2015,The removal of the e,20-07-2015,24-29  Mary Street,Decision Notices Iss,10-09-2015,20-07-2015,Permission,GRANT PERMISSION
3850/03,12-11-2003,erection of external,11-08-2003,24-29 Mary Street &,Decision Appealed,01-10-2003,11-08-2003,Permission,GRANT PERMISSION
WEB1228/15,NULL,The development will,10-07-2015,24-29  Mary Street,Decision Notices Iss,14-07-2015,10-07-2015,Permission,APPLICATION DECLARED
3711/17,16-11-2017,PROTECTED STRUCTURE:,25-08-2017,Trinity Business Sch,Decision Notices Iss,13-10-2017,25-08-2017,Permission,GRANT PERMISSION
3012/15,21-09-2015,PROTECTED STRUCTURE:,16-06-2015,Trinity College Dubl,Decision Notices Iss,10-08-2015,16-06-2015,Permission,GRANT PERMISSION
4148/17,06-02-2018,PROTECTED STRUCTURE:,27-10-2017,The Gresham Hotel  2,Decision Notices Iss,15-12-2017,27-10-2017,Permission,GRANT PERMISSION
4995/06,28-02-2008,construction of a mi,08-09-2006,site at Pearse Stree,Appeal Decided,26-01-2007,22-12-2006,Permission,GRANT PERMISSION
5389/05,NULL,Temporary Surface Ca,28-10-2005,Vacant Site -Tempora,Decision Notices Iss,10-11-2005,28-10-2005,Permission,APPLICATION DECLARED
5739/05,08-09-2006,Temporary Surface Ca,21-11-2005,Vacant Site -Tempora,Decision Appealed,04-08-2006,11-07-2006,Permission,GRANT PERMISSION
5974/04,18-03-2005,Protected Structure,21-12-2004,Gresham Hotel  O'Con,Decision Notices Iss,09-02-2005,21-12-2004,Permission,GRANT PERMISSION
2679/07,23-07-2007,Construction of 2 no,16-04-2007,Central Model Senior,Decision Notices Iss,08-06-2007,16-04-2007,Permission,GRANT PERMISSION
2411/09,03-06-2009,PROTECTED STRUCTURE,26-02-2009,Busaras  Store Stree,Decision Notices Iss,22-04-2009,26-02-2009,Permission,GRANT PERMISSION
1021/04,07-04-2004,Protected Structure,02-01-2004,Busaras  Store Stree,Decision Appealed,26-02-2004,02-01-2004,Permission,GRANT PERMISSION
1454/04,02-12-2004,Attach 3 no face mou,11-02-2004,Aras Mhic Dhiarmada,Decision Appealed,27-10-2004,01-10-2004,Permission,GRANT PERMISSION
6745/07,21-05-2008,Change of use of 1st,21-12-2007,Unit 169  Granby Pla,Decision Notices Iss,14-04-2008,25-03-2008,Permission,GRANT PERMISSION
4880/05,03-01-2006,revisions to a mixed,21-09-2005,Fronting Parnell Str,Registered applicati,15-11-2005,21-09-2005,Permission,GRANT PERMISSION
3547/13,14-02-2014,Construction of a ne,13-11-2013,International House,Decision Notices Iss,07-01-2014,13-11-2013,Permission,GRANT PERMISSION
4258/17,23-02-2018,Constr.of a new ESB,14-11-2017,International Centre,Decision Notices Iss,11-01-2018,14-11-2017,Permission,GRANT PERMISSION
2134/14,22-04-2014,Removal of existing,03-02-2014,International House,Decision Notices Iss,12-03-2014,03-02-2014,Permission,GRANT PERMISSION
3072/14,11-11-2014,Installation of one,17-07-2014,International House,Decision Notices Iss,07-10-2014,17-09-2014,Permission,GRANT PERMISSION
2135/14,21-05-2014,A new sprinkler tank,03-02-2014,International House,Decision Notices Iss,09-04-2014,21-03-2014,Permission,GRANT PERMISSION
2133/14,08-05-2014,New roof plant and m,03-02-2014,International House,Decision Notices Iss,27-03-2014,03-02-2014,Permission,GRANT PERMISSION
2522/07,11-07-2007,The provision of 4 a,05-04-2007,Unit 24A  Ilac Shopp,Decision Notices Iss,29-05-2007,05-04-2007,Permission,GRANT PERMISSION
2765/05,03-08-2005,Extend the availabil,09-05-2005,Levels 9&10  roof le,Decision Notices Iss,28-06-2005,09-05-2005,Permission,GRANT PERMISSION
2711/17,25-04-2018,Demolish all buildin,18-04-2017,44-53 Townsend Stree,Appeal Decided,21-09-2017,25-08-2017,Permission,GRANT PERMISSION
2406/17,13-11-2017,New entrance to unde,06-03-2017,Talbot Mall  (also k,Appeal Decided,28-04-2017,06-03-2017,Permission,GRANT PERMISSION
3123/17,10-11-2017,Single free standing,12-06-2017,Ulster Bank Group Ce,Decision Notices Iss,28-09-2017,05-09-2017,Permission,GRANT PERMISSION
2923/16,16-08-2016,Irish Life Assurance,20-05-2016,Blocks C & D  (Forme,Decision Notices Iss,08-07-2016,20-05-2016,Permission,GRANT PERMISSION
2605/16,28-07-2016,Demolition & replace,04-04-2016,Site of c.042 ha  th,Decision Notices Iss,14-06-2016,01-06-2016,Permission,GRANT PERMISSION
3538/16,03-02-2017,Omission of vehicula,15-08-2016,The Hanover Building,Decision Notices Iss,14-12-2016,18-11-2016,Permission,GRANT PERMISSION
3654/17,16-11-2017,Minor amendments to,15-08-2017,The Hanover Building,Decision Notices Iss,09-10-2017,15-08-2017,Permission,GRANT PERMISSION
6243/05,NULL,Change of use within,20-12-2005,Marks and Spencer  2,Decision Notices Iss,10-01-2006,20-12-2005,Permission,APPLICATION DECLARED
3346/18,20-09-2018,Installation of a so,22-06-2018,1-4 Windmill Lane  1,Decision Notices Iss,15-08-2018,22-06-2018,Permission,GRANT PERMISSION
3914/16,23-01-2017,Minor amendments to,13-10-2016,1-4 Windmill Lane  1,Decision Notices Iss,02-12-2016,13-10-2016,Permission,GRANT PERMISSION
2258/16,23-05-2016,Permission for minor,16-02-2016,1-4 Windmill Lane  1,Decision Notices Iss,11-04-2016,16-02-2016,Permission,GRANT PERMISSION
3055/15,10-02-2016,Minor amendments to,22-06-2015,0.4223 hectare site,Appeal Decided,07-10-2015,10-09-2015,Permission,GRANT PERMISSION
4323/15,05-04-2016,Planning permission,22-12-2015,1-4 Windmill Lane  1,Decision Notices Iss,24-02-2016,22-12-2015,Permission,GRANT PERMISSION
2270/15,27-05-2015,Permission for minor,25-02-2015,1-4  Windmill Lane,Decision Notices Iss,20-04-2015,25-02-2015,Permission,GRANT PERMISSION
4186/15,29-06-2016,Amendments to previo,09-12-2015,1-4 Windmill Lane  1,Appeal Decided,04-02-2016,09-12-2015,Permission,GRANT PERMISSION
2686/16,27-10-2016,Planning permission,15-04-2016,1-4 Windmill Lane  1,Appeal Decided,09-06-2016,15-04-2016,Permission,GRANT PERMISSION
4071/09,21-04-2011,Mixed use developmen,09-10-2009,1-4 Windmill Lane  N,Appeal Decided,08-07-2010,11-06-2010,Permission,REFUSE PERMISSION
3629/16,27-04-2017,Planning Permission,01-09-2016,1-4 Windmill Lane  1,Appeal Decided,20-10-2016,01-09-2016,Permission,GRANT PERMISSION
4292/08,NULL,Demolition of existi,02-09-2008,1-4  Windmill Lane,NULL,23-10-2008,02-09-2008,Permission,REFUSE PERMISSION
3680/08,NULL,Demolish warehouses,16-07-2008,1-4 Windmill Lane  1,Decision Notices Iss,22-08-2008,16-07-2008,Permission,APPLICATION DECLARED
2120/09,23-11-2009,Refurbishment of exi,22-01-2009,Marks and Spencer  2,Decision Notices Iss,12-10-2009,15-09-2009,Permission,GRANT PERMISSION
2010/07,25-05-2007,Removal of existing,07-03-2007,Ulster Bank Group Ce,Decision Notices Iss,26-04-2007,07-03-2007,Permission,GRANT PERMISSION
1016/06,NULL,low energy operator,03-01-2006,Georges Quay  Dublin,Decision Notices Iss,19-01-2006,03-01-2006,Permission,APPLICATION DECLARED
2206/03,01-08-2003,The provision of a 4,16-05-2003,Corridor comprising,Decision Notices Iss,26-06-2003,16-05-2003,Permission,GRANT PERMISSION
2691/19,NULL,Planning permission,05-04-2019,60-63 Dawson Street,Decision Notices Iss,30-05-2019,05-04-2019,Permission,GRANT PERMISSION
2123/19,26-04-2019,The proposed develop,25-01-2019,60-65 Dawson Street,Decision Notices Iss,21-03-2019,25-01-2019,Permission,GRANT PERMISSION
2075/06,20-09-2006,cleaning and repair,16-03-2006,Busaras  Store Stree,Decision Appealed,15-08-2006,20-07-2006,Permission,GRANT PERMISSION
4487/03,16-12-2003,PROTECTED STRUCTURE,17-09-2003,Clery & Co. Departme,Decision Appealed,07-11-2003,17-09-2003,Permission,GRANT PERMISSION
4840/06,28-11-2006,Protected Structure-,31-08-2006,Clerys and Co LTD  1,Decision Notices Iss,23-10-2006,31-08-2006,Permission,GRANT PERMISSION
3417/15,18-11-2015,PROTECTED STRUCTURE:,13-08-2015,'Busaras'  Aras Mhic,Decision Notices Iss,07-10-2015,13-08-2015,Permission,GRANT PERMISSION
3767/10,21-01-2011,PROTECTED STRUCTURE:,13-10-2010,Busaras  Store Stree,Decision Notices Iss,01-12-2010,13-10-2010,Permission,GRANT PERMISSION
4328/08,10-06-2009,Revisions & modifica,04-09-2008,31-34  Abbey Street,Decision Notices Iss,29-04-2009,02-04-2009,Permission,GRANT PERMISSION
3970/15,NULL,PROTECTED STRUCTURE:,06-11-2015,Oisin House  212/213,Appeal Decided,22-02-2016,26-01-2016,Permission,GRANT PERMISSION
