object_id,zone_orig,zone_gzt,zone_desc,zone_link,colour
21,Zone Z3: Neighbourhood centres,M3,TEST Description 21,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
22,Zone Z3: Neighbourhood centres,M3,TEST Description 22,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
23,Zone Z3: Neighbourhood centres,M3,TEST Description 23,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
24,Zone Z3: Neighbourhood centres,M3,TEST Description 24,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
25,Zone Z3: Neighbourhood centres,M3,TEST Description 25,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
26,Zone Z3: Neighbourhood centres,M3,TEST Description 26,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
27,Zone Z3: Neighbourhood centres,M3,TEST Description 27,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
28,Zone Z3: Neighbourhood centres,M3,TEST Description 28,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
29,Zone Z3: Neighbourhood centres,M3,TEST Description 29,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
30,Zone Z3: Neighbourhood centres,M3,TEST Description 30,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
31,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 31,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
32,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 32,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
33,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 33,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
34,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 34,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
35,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 35,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
36,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 36,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
37,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 37,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
38,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 38,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
39,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 39,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
40,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 40,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
41,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 41,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
42,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 42,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
43,Zone Z3: Neighbourhood centres,M3,TEST Description 43,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
44,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 44,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
45,Zone Z3: Neighbourhood centres,M3,TEST Description 45,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
46,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 46,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
47,Zone Z3: Neighbourhood centres,M3,TEST Description 47,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
48,Zone Z3: Neighbourhood centres,M3,TEST Description 48,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
49,Zone Z3: Neighbourhood centres,M3,TEST Description 49,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
50,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 50,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
51,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 51,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
52,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 52,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
53,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 53,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
54,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 54,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
55,Zone Z3: Neighbourhood centres,M3,TEST Description 55,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
56,Zone Z3: Neighbourhood centres,M3,TEST Description 56,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
57,Zone Z3: Neighbourhood centres,M3,TEST Description 57,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
58,Zone Z3: Neighbourhood centres,M3,TEST Description 58,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
59,Zone Z3: Neighbourhood centres,M3,TEST Description 59,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
60,Zone Z3: Neighbourhood centres,M3,TEST Description 60,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
61,Zone Z3: Neighbourhood centres,M3,TEST Description 61,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
62,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 62,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
63,Zone Z3: Neighbourhood centres,M3,TEST Description 63,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
64,Zone Z3: Neighbourhood centres,M3,TEST Description 64,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
65,Zone Z3: Neighbourhood centres,M3,TEST Description 65,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
66,Zone Z3: Neighbourhood centres,M3,TEST Description 66,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
67,Zone Z3: Neighbourhood centres,M3,TEST Description 67,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
68,Zone Z3: Neighbourhood centres,M3,TEST Description 68,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
69,Zone Z3: Neighbourhood centres,M3,TEST Description 69,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
70,Zone Z3: Neighbourhood centres,M3,TEST Description 70,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
71,Zone Z3: Neighbourhood centres,M3,TEST Description 71,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
72,Zone Z3: Neighbourhood centres,M3,TEST Description 72,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
73,Zone Z3: Neighbourhood centres,M3,TEST Description 73,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
74,Zone Z3: Neighbourhood centres,M3,TEST Description 74,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
75,Zone Z3: Neighbourhood centres,M3,TEST Description 75,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
76,Zone Z3: Neighbourhood centres,M3,TEST Description 76,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
77,Zone Z3: Neighbourhood centres,M3,TEST Description 77,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
78,Zone Z3: Neighbourhood centres,M3,TEST Description 78,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
79,Zone Z3: Neighbourhood centres,M3,TEST Description 79,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
80,Zone Z3: Neighbourhood centres,M3,TEST Description 80,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
81,Zone Z3: Neighbourhood centres,M3,TEST Description 81,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
82,Zone Z3: Neighbourhood centres,M3,TEST Description 82,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
83,Zone Z3: Neighbourhood centres,M3,TEST Description 83,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
84,Zone Z3: Neighbourhood centres,M3,TEST Description 84,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
85,Zone Z3: Neighbourhood centres,M3,TEST Description 85,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
86,Zone Z3: Neighbourhood centres,M3,TEST Description 86,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
87,Zone Z3: Neighbourhood centres,M3,TEST Description 87,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
88,Zone Z3: Neighbourhood centres,M3,TEST Description 88,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
89,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 89,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
90,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 90,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
91,Zone Z3: Neighbourhood centres,M3,TEST Description 91,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
92,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 92,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
93,Zone Z3: Neighbourhood centres,M3,TEST Description 93,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
94,Zone Z3: Neighbourhood centres,M3,TEST Description 94,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
95,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 95,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
96,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 96,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
97,Zone Z3: Neighbourhood centres,M3,TEST Description 97,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
98,Zone Z3: Neighbourhood centres,M3,TEST Description 98,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
99,Zone Z3: Neighbourhood centres,M3,TEST Description 99,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
100,Zone Z3: Neighbourhood centres,M3,TEST Description 100,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
101,Zone Z3: Neighbourhood centres,M3,TEST Description 101,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
102,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 102,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
103,Zone Z3: Neighbourhood centres,M3,TEST Description 103,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
104,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 104,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
105,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 105,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
106,Zone Z3: Neighbourhood centres,M3,TEST Description 106,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
107,Zone Z3: Neighbourhood centres,M3,TEST Description 107,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
108,Zone Z3: Neighbourhood centres,M3,TEST Description 108,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
109,Zone Z3: Neighbourhood centres,M3,TEST Description 109,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
110,Zone Z3: Neighbourhood centres,M3,TEST Description 110,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
111,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 111,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
112,Zone Z3: Neighbourhood centres,M3,TEST Description 112,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
113,Zone Z3: Neighbourhood centres,M3,TEST Description 113,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
114,Zone Z3: Neighbourhood centres,M3,TEST Description 114,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
115,Zone Z3: Neighbourhood centres,M3,TEST Description 115,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
116,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 116,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
117,Zone Z3: Neighbourhood centres,M3,TEST Description 117,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
118,Zone Z3: Neighbourhood centres,M3,TEST Description 118,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
119,Zone Z3: Neighbourhood centres,M3,TEST Description 119,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
120,Zone Z3: Neighbourhood centres,M3,TEST Description 120,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
121,Zone Z3: Neighbourhood centres,M3,TEST Description 121,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
122,Zone Z3: Neighbourhood centres,M3,TEST Description 122,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
123,Zone Z3: Neighbourhood centres,M3,TEST Description 123,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
124,Zone Z3: Neighbourhood centres,M3,TEST Description 124,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
125,Zone Z3: Neighbourhood centres,M3,TEST Description 125,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
126,Zone Z3: Neighbourhood centres,M3,TEST Description 126,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
127,Zone Z3: Neighbourhood centres,M3,TEST Description 127,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
128,Zone Z3: Neighbourhood centres,M3,TEST Description 128,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
129,Zone Z3: Neighbourhood centres,M3,TEST Description 129,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
130,Zone Z3: Neighbourhood centres,M3,TEST Description 130,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
131,Zone Z3: Neighbourhood centres,M3,TEST Description 131,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
132,Zone Z3: Neighbourhood centres,M3,TEST Description 132,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
133,Zone Z3: Neighbourhood centres,M3,TEST Description 133,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
134,Zone Z3: Neighbourhood centres,M3,TEST Description 134,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
135,Zone Z3: Neighbourhood centres,M3,TEST Description 135,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
136,Zone Z3: Neighbourhood centres,M3,TEST Description 136,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
137,Zone Z3: Neighbourhood centres,M3,TEST Description 137,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
138,Zone Z3: Neighbourhood centres,M3,TEST Description 138,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
139,Zone Z3: Neighbourhood centres,M3,TEST Description 139,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
140,Zone Z3: Neighbourhood centres,M3,TEST Description 140,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
141,Zone Z6: Employment/Enterprise Zones,C2.1,TEST Description 141,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Purple1,Yes,No"
142,Zone Z3: Neighbourhood centres,M3,TEST Description 142,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
143,Zone Z3: Neighbourhood centres,M3,TEST Description 143,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
144,Zone Z3: Neighbourhood centres,M3,TEST Description 144,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
145,Zone Z3: Neighbourhood centres,M3,TEST Description 145,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
146,Zone Z3: Neighbourhood centres,M3,TEST Description 146,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
